IDREFPELANGGAN,ID_UNIT_USAHA,FSTREAMID,FDAYOFWEEK,FHOUR,AVG_FDVC
0150000008,015,1,2,12,402.54
013560937,013,1,3,18,14.71
013517247,013,1,2,18,230.12
013522085,013,1,3,15,45.75
0110014530,011,1,2,18,303.7
012560120,012,1,2,6,111.41
0150019646,015,1,3,12,144.0
013579290,013,1,3,0,421.37
015518325,015,1,3,15,224.83
0130252588,013,1,3,16,400.0
021667616,021,1,3,11,1959.77
02100276,021,1,2,5,38.78
0120025926,012,1,3,2,9.5
02100162,021,1,2,20,17.0
0110025808,011,1,2,10,30.92
02100152,021,1,3,21,15.84
02200266,022,1,2,11,63.71
0150000017,015,1,3,18,23.29
012546616,012,1,2,6,94.01
0150020596,015,1,2,17,56.82
0150011902,015,1,3,18,59.42
02200355,022,1,3,19,1425.3
03113411,031,1,3,16,0.45
0140019614,014,1,2,17,307.0
02200290,022,1,2,3,134.31
0140019639,014,1,3,19,220.0
0110025762,011,1,3,15,256.0
014517534,014,1,3,11,88.0
0110010968,011,1,2,7,3679.0
0110018612,011,1,3,12,307.0
015516712,015,1,2,12,213.71
02100346,021,1,2,14,588.0
0110011855,011,1,2,10,12.0
014560508,014,1,3,6,315.76
0110025761,011,1,3,9,24.0
02200007,022,1,2,21,326.01
01604952,016,1,2,8,203.9
0130252573,013,1,3,10,57.0
014571124,014,1,2,20,412.84
02100250,021,1,3,6,32.77
0110012207,011,1,3,3,37.0
022514863,022,1,3,2,27.38
016561828,016,1,2,11,6.51
02200309,022,1,3,4,11.64
022560870,022,1,3,0,253.11
02100365,021,1,3,17,590.0
012586150,012,1,2,4,48.52
022667059,022,1,2,22,163.82
018527053,018,1,3,9,0.22
0130252697,013,1,3,13,346.29
0120010291,012,1,3,6,79.76
0130252350,013,1,3,23,147.0
02300168,023,1,3,14,1.3
021522143,021,1,2,22,14.36
0120015377,012,1,2,4,49.84
022516674,022,1,3,21,401.0
02300345,023,1,3,4,87.94
02100080,021,1,2,9,183.47
0120008025,012,1,2,8,307.1
012526285,012,1,2,13,20.88
02200327,022,1,3,16,518.6
0190303093,019,1,2,11,551.52
0150019860,015,1,2,17,12.59
0120011330,012,1,3,16,984.12
02200343,022,1,3,5,10.88
0130014660,013,1,2,7,352.85
0140019643,014,1,3,4,506.0
0110026807,011,1,3,17,235.1
02200264,022,1,2,21,27.88
011694438,011,1,2,14,154.67
022519144,022,1,3,3,250.15
021667105,021,1,2,10,788.98
012514615,012,1,2,10,81.48
0120007248,012,1,3,8,500.73
016515796,016,1,3,7,5.25
0130009779,013,1,3,22,88.07
012514616,012,1,2,14,381.26
